,SUBJECT,DATE,WB_ny_gdp_mktp_cd,subject,date,umap0,umap1,umap2,pca0,pca1,pca2
24,ABW,1985,1278164832.3111413,0,1984.9999999999998,6.2954707,1.0926847,7.7083607,-0.049568062439377995,0.0011882138327187397,0.0004784573568083469
25,ABW,1986,405463417.1,0,1985.9999999999998,6.31242,2.4365826,8.456134,-0.05614579496029446,-0.0017342393580952414,-0.000634787883049768
26,ABW,1987,487602457.7,0,1986.9999999999998,6.3948097,3.6531458,8.747683,-0.05746875490904359,-0.00022139028949635158,-0.0002545345496496423
27,ABW,1988,596423607.1,0,1988.0,6.3798227,3.6332679,8.7490835,-0.05718789833320502,-0.000292709633953173,-0.00030709873199880234
28,ABW,1989,695304363.0,0,1989.0,6.3105936,3.687911,8.791588,-0.05674038035244672,-0.00035045751412653863,-0.0005935311110231899
29,ABW,1990,764887117.2,0,1990.0,6.356224,3.6312327,8.725008,-0.05673545183519111,-0.0003713202735120906,-0.0005174945027512467
30,ABW,1991,872138730.8,0,1991.0,6.3275685,3.5868037,8.7307005,-0.056492883243593785,-0.0002441109283541066,-0.0004958342608434106
31,ABW,1992,958463200.2000002,0,1992.0,6.313512,3.589399,8.746029,-0.05678495824559975,-0.00016234991000572466,-0.0003368608359468183
32,ABW,1993,1082979708.0,0,1993.0,6.262074,3.5401244,8.756114,-0.05673674252176404,-0.00029971002431023835,-0.00026958530000611373
33,ABW,1994,1245688253.0,0,1994.0,6.5921264,3.7267904,8.726728,-0.057460891671075466,-1.4892094558344525e-05,-0.00027657068156605226
34,ABW,1995,1320474860.0,0,1995.0,8.816376,6.393838,8.850476,-0.057554831103945325,0.00041685385458408624,0.00038098631267253884
35,ABW,1996,1379960894.0,0,1996.0000000000002,8.556494,6.2728505,8.95416,-0.057064008354719344,-0.00025294124707389847,0.0005141624765130264
36,ABW,1997,1531944134.0,0,1997.0000000000002,8.62752,6.2507076,8.979697,-0.057008927151312706,-0.0002466819732927472,0.00047852333574259937
37,ABW,1998,1665100559.0000002,0,1998.0000000000002,8.533121,6.1505017,8.940862,-0.057072044300612995,-9.052954743118273e-05,0.0001161170077721049
38,ABW,1999,1722798883.0,0,1998.9999999999998,8.566188,6.1904144,8.95948,-0.05715616801405835,-0.00012152760697829302,0.00019129107416828835
39,ABW,2000,1873452514.0,0,1999.9999999999998,8.634511,6.2598243,8.954351,-0.057151953230313635,7.38550453081425e-05,0.00030333011069326563
40,ABW,2001,1920111732.0,0,2000.9999999999998,8.66637,6.270618,8.997111,-0.05717464447224137,0.0001088244619343412,0.0003170205956057449
41,ABW,2002,1941340782.0,0,2002.0,11.53236,7.84592,7.3424993,-0.05762532770669735,0.0008674963069849774,0.00022408645408495447
42,ABW,2003,2021229050.0,0,2003.0,7.5273504,4.8238473,6.8696046,-0.05715576766742082,0.00042683026050172496,-0.0004307418220152001
43,ABW,2004,2228491620.0,0,2004.0,7.5096345,4.803195,6.8845983,-0.0571572053636535,0.0005660488258224831,-0.00034325486562768675
44,ABW,2005,2330726257.0,0,2005.0,7.506534,4.815012,6.899079,-0.05696053286301038,0.0003640444790133736,-0.00028604562388277684
45,ABW,2006,2424581006.0,0,2006.0,7.554828,4.8392086,6.857203,-0.0568708361886827,0.0006137946512835873,-0.00029008360998493437
46,ABW,2007,2615083799.0,0,2007.0,7.565438,4.8855186,6.8831005,-0.05691509267141061,0.0008330893244453062,-0.00017978759743972054
47,ABW,2008,2745251397.0,0,2008.0,7.5504904,4.839735,6.856477,-0.05688495443442731,0.0009062692592813763,-0.00036474663424078657
48,ABW,2009,2498882682.0,0,2009.0,13.285532,8.277444,7.0611825,-0.058064978375248315,0.0016039297106130847,0.0005918816586581278
49,ABW,2010,2390502793.0,0,2010.0000000000002,7.564368,4.86917,6.8477693,-0.05695841607121061,-1.4473479948306582e-05,-0.00034661740758879336
50,ABW,2011,2549720670.0,0,2011.0000000000002,7.538499,4.841774,6.8443336,-0.05636381077366022,0.00028725684542749803,-9.290768627310549e-05
51,ABW,2012,2534636872.0,0,2012.0000000000002,7.3498645,5.0357785,8.250196,-0.055982987868790225,-0.0012343432212172177,-0.00011255563176707875
52,ABW,2013,2581564246.0,0,2012.9999999999998,7.5478506,4.81767,6.842706,-0.05683433646479308,0.00043805210159904187,-0.0005447859000427987
53,ABW,2014,2649720670.0000005,0,2013.9999999999998,7.5451293,4.833884,6.830662,-0.05685237403189667,0.0004328740119231423,-0.00043659379932571633
54,ABW,2015,2691620112.0,0,2014.9999999999998,7.578886,4.812299,6.825688,-0.057118240286966944,0.000828848687100489,-0.0005128613183923619
55,ABW,2016,2646927374.0,0,2016.0,7.536573,4.807802,6.8457093,-0.05703104192864857,0.000722873564491134,-0.0008135267460520515
56,ABW,2017,2700558659.0,0,2017.0,7.3733945,4.972207,8.083677,-0.05553874976830441,-0.0002659268666067543,-0.0009960273752135458
57,ABW,2018,355282921655.373,0,2018.0,10.340772,-3.8972783,6.691811,-0.03224833518301517,0.0025836891577361966,-0.001072957444778985
58,AFG,1961,548888895.6,1,1961.0,9.839871,3.7775974,12.721444,-0.05956002931956521,0.001404101749806476,-0.00024593704758136707
59,AFG,1962,546666677.8,1,1962.0,11.481697,2.048158,13.879621,-0.06003979156737272,0.0010640759168428651,9.708459827354286e-05
60,AFG,1963,751111191.1000001,1,1963.0,11.517517,2.0076878,13.89391,-0.06011498146151333,0.0011437407220547117,0.00014432461540993228
61,AFG,1964,800000044.4,1,1964.0,11.488966,2.0615673,13.902409,-0.05993450713063731,0.0012514805461111092,0.00019817879138873612
62,AFG,1965,1006666638.0,1,1965.0,11.497159,2.040194,13.881445,-0.06004503238681742,0.0011869483225807906,0.00033061927403134074
63,AFG,1966,1399999967.0,1,1966.0,11.521052,1.9665997,13.941134,-0.060056101238248095,0.0008096103064465802,0.00034082321019175547
64,AFG,1967,1673333418.0000002,1,1967.0000000000002,11.499804,2.0284598,13.902503,-0.05992973560243157,0.0012293975171807992,0.0002804397188283968
65,AFG,1968,1373333367.0,1,1968.0000000000002,11.503901,2.037543,13.862647,-0.059907156342708,0.0012069895300791504,0.0002435632900199988
66,AFG,1969,1408888921.9999998,1,1969.0000000000002,11.301299,2.3310502,13.867346,-0.059760197087266556,0.0010283926765849993,-0.00037041090417502885
67,AFG,1970,1748886596.0,1,1969.9999999999998,11.230978,2.4131455,13.8961315,-0.05966938202569135,0.0010661425988635666,-0.0006158112422562959
68,AFG,1971,1831108971.0,1,1970.9999999999998,11.501112,2.1364594,13.752377,-0.05985687464854992,0.0010125241126160915,0.00010581920199235393
69,AFG,1972,1595555476.0,1,1971.9999999999998,11.512368,2.0630925,13.796127,-0.060056635317387745,0.0008435020551394618,2.4075064961047672e-05
70,AFG,1973,1733333263.9999998,1,1973.0,11.506316,2.1137128,13.7779045,-0.059910537160534065,0.0010279642993712415,7.550121971642127e-05
71,AFG,1974,2155555498.0,1,1974.0,11.52209,2.1711066,13.580284,-0.05967293812924581,0.0010696180025544456,0.00028099676669521555
72,AFG,1975,2366666616.0,1,1975.0,11.524072,2.1293325,13.721712,-0.05991605470078353,0.0009432833383921959,0.0001688322903915894
73,AFG,1976,2555555567.0,1,1976.0,11.5188265,2.1644032,13.487335,-0.059487769490971565,0.0009221393237101892,0.00035265257686535205
74,AFG,1977,2953333418.0,1,1977.0,11.566435,2.1940858,13.378413,-0.059320807647025915,0.001025811676365143,0.00022358318850060316
75,AFG,1978,3300000109.0,1,1978.0,11.524576,2.6083915,13.363656,-0.05985665043626712,0.0013376071698107306,0.0003832016804207631
76,AFG,1979,3697940410.0,1,1979.0,5.476198,6.1909456,12.415995,-0.05984098661867296,0.0016953092708194791,0.0018995172196346805
77,AFG,1980,3641723322.0,1,1980.0,5.5249157,6.2175984,12.453311,-0.060210667128608605,0.0019522348997704799,0.0011326394908761366
78,AFG,1981,3478787909.0,1,1981.0000000000002,5.5057898,6.2261887,12.485175,-0.06030454568304176,0.0017336676139618511,0.0011998093949955207
79,AFG,1982,29869345754.265903,1,1982.0000000000002,5.479384,6.135498,12.461253,-0.06072435758123094,0.002519588988282719,0.0007894482456792767
80,AFG,1983,28473008757.25395,1,1983.0000000000002,5.5068293,6.2243075,12.5119295,-0.06062986211867863,0.0022377612732787876,0.0013338516727342117
81,AFG,1984,27844963446.38689,1,1983.9999999999998,5.4969764,6.2257824,12.596894,-0.06043460295203449,0.002120806663534505,0.001615827620785619
82,AFG,1985,27838152719.966175,1,1984.9999999999998,5.480906,6.126712,12.471695,-0.06075247809311964,0.0025065668295318456,0.0007204086056555644
83,AFG,1986,26535794370.03454,1,1985.9999999999998,5.392406,6.014082,12.446273,-0.06064815269952223,0.002185765564898765,0.0008467189543628833
84,AFG,1987,26805800266.34883,1,1986.9999999999998,5.502963,6.1404557,12.511229,-0.060946725002840485,0.0022491037132307736,0.0005832465901476506
85,AFG,1988,24910896335.205868,1,1988.0,5.422655,5.9803596,12.262296,-0.06089876406132038,0.0027493219328415313,0.000755856630923045
86,AFG,1989,23539308497.1831,1,1989.0,5.5721993,6.1325293,12.456964,-0.06096630999984086,0.002638023522710386,0.0008123534865074715
87,AFG,1990,22526126142.921406,1,1990.0,5.5835433,2.7173872,13.984497,-0.061040652229257704,0.0012413816691831444,0.00010455508806684302
88,AFG,1991,79994535147.16132,1,1991.0,5.50312,2.743239,13.904498,-0.06087165242312665,0.001309459847779286,8.98135462913449e-05
89,AFG,1992,43152391213.442055,1,1992.0,5.5534434,2.7224712,13.953996,-0.061157815166023664,0.0016049179393350266,1.8976419960931213e-05
90,AFG,1993,103559185931.82346,1,1993.0,5.6454325,2.77643,13.809993,-0.05946785880896515,0.0003549370945580141,-0.0010694869012890745
91,AFG,1994,-34103901425.35418,1,1994.0,5.538856,2.722157,13.9293375,-0.061154694300564555,0.0016424613844510628,-0.00033115765669386427
92,AFG,1995,-45981539575.06143,1,1995.0,5.528636,2.7097964,13.934999,-0.06138306701391648,0.0018039526224578309,-0.0002751150899182259
93,AFG,1996,-25753167734.51494,1,1996.0000000000002,5.418698,2.7450278,13.843973,-0.061528184416240146,0.0019636198219091026,-0.00017017921026098753
94,AFG,1997,94844413414.6998,1,1997.0000000000002,5.215544,2.7183912,13.830001,-0.0613094381839784,0.0025218833968585702,-0.00013357768292099396
95,AFG,1998,103430741326.11885,1,1998.0000000000002,5.5991054,2.9763918,13.024314,-0.06075111672583313,0.0017208635503857756,-0.00010077886597019491
96,AFG,1999,97125340368.05858,1,1998.9999999999998,5.3064847,2.7632034,13.777371,-0.061282214954237794,0.002088320738985774,-0.00019802054861023526
97,AFG,2000,291329158207.2659,1,1999.9999999999998,5.4590306,2.7502234,13.859147,-0.060396992513550685,0.001625955567913311,-0.0007641297533944605
98,AFG,2001,250183415003.53714,1,2000.9999999999998,5.3047266,2.7164614,13.893345,-0.06086314463696688,0.0025445826851011695,-8.262686696003843e-05
99,AFG,2002,4055176933.0,1,2002.0,11.68949,2.8668585,12.816391,-0.05978797818595735,0.0010411744687576106,0.0006786615389725886
100,AFG,2003,4515563414.0,1,2003.0,10.851982,7.726027,11.681907,-0.05945694878177801,0.0014666092132557683,0.000669157654777254
101,AFG,2004,5226775163.0,1,2004.0,10.862086,7.626846,11.7111435,-0.059512830617609515,0.0012322458227659741,0.0007558712020186147
102,AFG,2005,6209140044.0,1,2005.0,10.852154,7.744506,11.687545,-0.05944869678157728,0.0016251420362853298,0.0007630392722725229
103,AFG,2006,6971286732.0,1,2006.0,10.83783,7.7746253,11.674938,-0.05952099226127235,0.0015668071657265036,0.0007336515132734181
104,AFG,2007,9747886105.0,1,2007.0,10.866576,7.81405,11.673186,-0.05960539321783801,0.0016545008503362662,0.000818634130117954
105,AFG,2008,10109218068.0,1,2008.0,15.438078,8.524557,6.6456847,-0.058926192059719024,0.0020242182568765196,0.0006369024355635598
106,AFG,2009,12439087077.000002,1,2009.0,15.482536,8.487342,6.452753,-0.058381350211372876,0.0016791761561418361,0.00042676260342857167
107,AFG,2010,15856574731.0,1,2010.0000000000002,14.113032,8.243619,4.866831,-0.0575839185402141,0.0011550632718651435,1.9607755341786382e-05
108,AFG,2011,17804280538.0,1,2011.0000000000002,13.6665745,8.5011215,5.816158,-0.05761466426939029,0.0010908071922466648,0.00015642179637672548
109,AFG,2012,20001615789.0,1,2012.0000000000002,13.663129,8.494213,5.7944593,-0.05766345285666177,0.001136629761053478,-1.1881769734804123e-05
110,AFG,2013,20561054090.0,1,2012.9999999999998,13.692429,8.505504,5.797292,-0.057549412366735254,0.001161912948963911,0.00020938386036289792
111,AFG,2014,20484873230.0,1,2013.9999999999998,13.705953,8.49316,5.7720423,-0.05766969799805466,0.0011147162300249158,0.00030496253386657355
112,AFG,2015,19907111419.0,1,2014.9999999999998,13.693084,8.486272,5.788494,-0.05768241084144628,0.0011335973517998393,0.00028234847089103507
113,AFG,2016,19362642267.0,1,2016.0,13.695612,8.479935,5.779491,-0.05776538428081366,0.0010838494120619978,0.0003104327416934609
114,AFG,2017,20191764940.0,1,2017.0,12.10988,7.948875,7.7711005,-0.05798796777095058,0.001144582901944531,9.648607336030097e-05
115,AFG,2018,19362969582.0,1,2018.0,7.3179436,2.588817,10.974903,-0.058649132433941556,0.003787785644754968,-0.0009361379076058992
116,AGO,1961,105412889449.46208,2,1961.0,2.964311,2.92671,10.000374,-0.05583430382085816,0.0023099529635112253,0.0018268296367351113
117,AGO,1962,39191828489.983795,2,1962.0,2.8298216,3.4033992,10.063023,-0.058823776048107526,0.0024631782693479167,0.0014808139888179321
118,AGO,1963,59724084706.40622,2,1963.0,2.8277588,3.4166589,10.040603,-0.058857533008116386,0.002589241653719717,0.0014929059855495357
119,AGO,1964,64632493848.69462,2,1964.0,2.819618,3.3977783,10.019924,-0.058677693725277355,0.002860151965749278,0.0014466665699297513
120,AGO,1965,77435677670.0263,2,1965.0,2.8287952,3.4332898,9.973994,-0.05860783388803628,0.0027070432997511,0.0014942595912274899
121,AGO,1966,45133758215.99726,2,1966.0,2.8544962,3.4323199,10.04704,-0.058628621132808416,0.0025396896238652454,0.0016236037548165686
122,AGO,1967,38393841624.416725,2,1967.0000000000002,2.8278308,3.4313967,10.026931,-0.058670227009223044,0.0027884001078450414,0.0018893182988108637
123,AGO,1968,44261348678.0659,2,1968.0000000000002,2.8429039,3.3878698,9.997147,-0.05920574440881781,0.0030552442777111934,0.0015087491661357033
124,AGO,1969,9011106730.000183,2,1969.0000000000002,4.6757975,3.0661592,12.717616,-0.06144851741701399,0.0029944241035394156,0.000178792729300287
125,AGO,1970,-20859659868.616417,2,1969.9999999999998,4.544,3.0975137,12.616733,-0.0614034808968432,0.003190903841970636,0.00038781795018633927
126,AGO,1971,-6205797442.325171,2,1970.9999999999998,4.667357,3.0329576,12.799665,-0.06146334016098474,0.002864791865688221,0.0005905184749149575
127,AGO,1972,-39683865235.79572,2,1971.9999999999998,4.6817613,3.0594604,12.801612,-0.06163538331502355,0.0027027867245692783,0.0004182043648194602
128,AGO,1973,-3968994272.6134014,2,1973.0,4.5926876,3.0656118,12.689522,-0.0614489327358879,0.002942136202182668,0.00037268444400999937
129,AGO,1974,-29056184637.510647,2,1974.0,4.643905,3.0555484,12.834802,-0.06130498710139431,0.003043711910435214,0.00034636358429440553
130,AGO,1975,-9421891854.630539,2,1975.0,4.799492,2.8510468,13.402774,-0.061677228811608795,0.0029882953997261126,0.00042602573833048775
131,AGO,1976,-27050096941.88811,2,1976.0,4.7944927,2.7703936,13.423556,-0.06143984559423529,0.002858904633818669,0.00012396177060781393
132,AGO,1977,-20477068306.902515,2,1977.0,4.839693,2.751955,13.409609,-0.06122740694010798,0.00273086042977127,0.0005016182140064171
133,AGO,1978,-35758786939.0798,2,1978.0,4.7758117,2.8003597,13.352505,-0.06135266404527853,0.0026693951110268095,0.00045259431009012254
134,AGO,1979,-85791166727.81226,2,1979.0,4.8112273,2.7720969,13.352315,-0.06129511302924753,0.0026271911103862536,0.0005359521261368511
135,AGO,1980,5930503401.0,2,1980.0,4.817324,2.7969348,13.459149,-0.06134461369413527,0.002591065321201409,0.00034923448464606414
136,AGO,1981,5550483036.0,2,1981.0000000000002,4.9220343,2.8639984,13.424914,-0.061134028699097544,0.0025073015501733105,0.00025654692376344206
137,AGO,1982,5550483036.0,2,1982.0000000000002,4.6835485,4.190397,13.039767,-0.06039599709754686,0.0020811117470304796,5.0461890123329317e-05
138,AGO,1983,5784341596.0,2,1983.0000000000002,4.67565,4.1828413,13.090747,-0.06019287320766906,0.0021342567004065424,6.981336329772513e-05
139,AGO,1984,6131475065.000001,2,1983.9999999999998,4.9205055,2.8299382,13.254989,-0.06100825279419809,0.0022189271560706663,0.0008436622323470439
140,AGO,1985,7553560459.0,2,1984.9999999999998,10.551083,4.705124,9.057919,-0.06000789688001716,0.0022221139307176535,0.0009915441454844882
141,AGO,1986,7072063345.0,2,1985.9999999999998,10.539566,4.726997,9.046055,-0.06023279071913827,0.00209459961887935,0.0009401643397131314
142,AGO,1987,8083872011.999999,2,1986.9999999999998,10.544299,4.714892,9.064713,-0.06021846782567608,0.00219348505901983,0.0008622809626462441
143,AGO,1988,8769250550.0,2,1988.0,10.557757,4.6997495,9.065427,-0.06010480378646192,0.0021860026948846535,0.0009941234504289393
144,AGO,1989,10201099040.0,2,1989.0,10.550668,4.706863,9.058064,-0.06006704973954854,0.002148370755273013,0.00100267980836487
145,AGO,1990,11228764963.0,2,1990.0,10.541768,4.7035017,9.070716,-0.0600743729037653,0.0019410742525403778,0.0009572800520552679
146,AGO,1991,10603784540.999998,2,1991.0,10.489031,4.7165356,9.124972,-0.060130591406673234,0.0020814794397969304,0.0009423993439794869
147,AGO,1992,8307810974.0,2,1992.0,10.574119,4.711904,9.056215,-0.059859896155496375,0.002136471101645949,0.0011898071013771959
148,AGO,1993,5768720422.000001,2,1993.0,10.570027,4.7035055,9.045386,-0.06001425237927442,0.0022541545661616848,0.0011227907588131677
149,AGO,1994,4438321017.0,2,1994.0,10.518471,4.698564,9.08364,-0.05954389056360459,0.0023861772064865893,0.0013889867834706627
150,AGO,1995,5538749260.000001,2,1995.0,6.2511425,5.2731495,11.782654,-0.059606414920860676,0.0025777983945946053,0.0007393367641349637
151,AGO,1996,7526446606.0,2,1996.0000000000002,6.2538567,5.3593626,11.803539,-0.05948162641955882,0.0025697502433833937,0.0008594130227716286
152,AGO,1997,7648377413.000001,2,1997.0000000000002,6.2415266,5.3463163,11.798654,-0.05945789608622614,0.0025550466561410127,0.0010568387104979394
153,AGO,1998,6506229607.0,2,1998.0000000000002,6.2816634,5.3345704,11.77211,-0.05953776001807193,0.00235179983048313,0.0010970960233091275
154,AGO,1999,6152922943.0,2,1998.9999999999998,17.062855,4.3966722,3.9270716,-0.05984908680673107,0.0020598400720044222,0.001144489802289162
155,AGO,2000,9129594819.0,2,1999.9999999999998,7.1654816,10.133887,7.4871836,-0.05858198920497957,0.002306326546302373,0.0009949732195790346
156,AGO,2001,8936063723.0,2,2000.9999999999998,7.2511573,10.057257,7.560165,-0.058016943719097026,0.001955181123570389,0.0004977692198573479
157,AGO,2002,15285594828.0,2,2002.0,14.472449,5.780907,6.5618567,-0.05750438421025646,0.0017956387528500065,0.00044320077754200055
158,AGO,2003,17812705294.0,2,2003.0,14.652148,6.845008,4.8449836,-0.057112991092673676,0.0018328917879361702,0.00048500752743505177
159,AGO,2004,23552052408.0,2,2004.0,14.62264,6.203989,4.912255,-0.05671931944437413,0.0019791277953544305,0.0006730755935413238
160,AGO,2005,36970918699.0,2,2005.0,14.578634,5.4351416,4.875816,-0.05588956563907143,0.002412840542068099,0.0008562560829283648
161,AGO,2006,52381006892.0,2,2006.0,14.498702,4.8176703,4.7379847,-0.05494173542260284,0.0026435709403090954,0.0011538314334414107
162,AGO,2007,65266452081.0,2,2007.0,14.456015,4.3709774,4.5434504,-0.05374011480954617,0.0033992705999395965,0.0013835541675486834
163,AGO,2008,88538611205.0,2,2008.0,14.496011,3.9549315,4.3610134,-0.051941905090256694,0.004570552973185969,0.0019147125689929433
164,AGO,2009,70307163678.0,2,2009.0,14.418243,4.1041484,4.441372,-0.05274721333112361,0.003679468947603643,0.001471831969531953
165,AGO,2010,83799496611.0,2,2010.0000000000002,14.503234,4.0917754,4.404096,-0.052592400916919316,0.0036284460936666218,0.0017429766125736915
166,AGO,2011,112000000000.0,2,2011.0000000000002,14.522732,3.8728855,4.311982,-0.05112206836200808,0.0041732931482906,0.0021861971705479564
167,AGO,2012,127999999999.99998,2,2012.0000000000002,14.522826,3.8598359,4.266605,-0.05040148885605547,0.004147886715075308,0.002204423655446848
168,AGO,2013,137000000000.00002,2,2012.9999999999998,14.499298,3.7956936,4.2791214,-0.04995655238732857,0.003963923399018216,0.0018480668733282294
169,AGO,2014,146000000000.0,2,2013.9999999999998,14.452766,3.763827,4.257592,-0.04967755234068002,0.003560698398438464,0.001582884999776484
170,AGO,2015,116000000000.0,2,2014.9999999999998,14.238429,3.9820352,4.445011,-0.051973068231279826,0.002141061973375932,0.001141176883915041
171,AGO,2016,101000000000.0,2,2016.0,14.187629,4.2005744,4.517519,-0.05329780384489843,0.0015713991396329834,0.0009697636285485214
172,AGO,2017,121999999999.99998,2,2017.0,14.192254,4.022827,4.477847,-0.05264247592000738,0.0017176717588767213,0.0008342249276173601
173,AGO,2018,106000000000.0,2,2018.0,12.745509,2.536482,4.0022607,-0.050193960687998446,0.0011028062858232798,0.0005319629159168172
174,ALB,1961,380680818657.05475,3,1961.0,3.2418754,1.7679495,8.269281,-0.0494420200040599,-0.00030130434170994074,6.727524259762225e-06
175,ALB,1962,199071460986.85242,3,1962.0,3.0251493,1.4142329,8.275279,-0.054123519538990576,0.000632197763048164,-0.00014431551687826355
176,ALB,1963,210420663059.25504,3,1963.0,3.0026119,1.3714231,8.287063,-0.05435311627896938,0.00020915434649879948,-5.1895089491441666e-05
177,ALB,1964,181698037711.0319,3,1964.0,3.0431547,1.4242808,8.208507,-0.054266208990152505,0.0009590371571065641,-0.00022552510077845006
178,ALB,1965,226457632120.27448,3,1965.0,3.069331,1.4494374,8.228401,-0.05298493249393436,0.00039830833120425575,-0.0004689029268730751
179,ALB,1966,236228590501.5242,3,1966.0,3.0539951,1.4571894,8.217988,-0.05372799190850184,0.00014278605743333722,-0.0005982496178652931
180,ALB,1967,206417463837.21796,3,1967.0000000000002,3.0717785,1.5006993,8.207368,-0.0519970037286482,0.0012655542626419957,-0.0012830920743023915
181,ALB,1968,191198354704.25812,3,1968.0000000000002,3.0787814,1.5054799,8.206968,-0.052305420272008664,0.0009038993695038442,-0.0009903171180430876
182,ALB,1969,63591358406.04374,3,1969.0000000000002,5.5869403,8.4713955,14.521847,-0.0597554881203873,0.0010534535564340405,-0.00040954507640988865
183,ALB,1970,40501935598.87544,3,1969.9999999999998,5.589422,8.488791,14.529192,-0.059464106705286394,0.001122432777583108,-0.0006987249252319812
184,ALB,1971,52857659597.96206,3,1970.9999999999998,5.6366944,8.54088,14.579682,-0.05963719915718088,0.0010417468125631566,-6.241656476869343e-05
185,ALB,1972,-81116002889.84538,3,1971.9999999999998,5.58931,8.489799,14.531181,-0.059631567811261756,0.0014338293005750648,-0.0002495890358329915
186,ALB,1973,45812170669.893845,3,1973.0,5.5914354,8.48949,14.531557,-0.05954017963793099,0.0014326498747439438,-0.00041300628674216457
187,ALB,1974,42783159606.35441,3,1974.0,5.607367,8.501977,14.549726,-0.05965155638335956,0.0015397815667101743,-0.0003353561647000932
188,ALB,1975,-16462310410.591602,3,1975.0,5.58928,8.461982,14.521428,-0.059909612261562765,0.0015441834117351017,-0.00016327899028596395
189,ALB,1976,-17762158851.223457,3,1976.0,5.587022,8.493845,14.531609,-0.05950371574453743,0.0009271962169024352,-0.0001551396515386476
190,ALB,1977,43206842438.74093,3,1977.0,5.5869904,8.493089,14.531064,-0.05926728787906301,0.001103374093675691,1.4593469864677056e-05
191,ALB,1978,-56292863432.923805,3,1978.0,5.5859976,8.494302,14.530854,-0.05906511684187655,0.0008825324226877165,-0.0002705373612567736
